type,id,version,timestamp,changeset,user,uid,lat,lon,tag:heritage,tag:historic,tag:historic:civilization,tag:name,tag:ruins,tag:wikidata,tag:access,tag:archaeological_site,tag:description,tag:designation,tag:opening_hours,tag:website,tag:wheelchair,tag:wikimedia_commons,tag:wikipedia,tag:layer,tag:name:ru,tag:artwork_type,tag:name:de,tag:name:en,tag:historic:period,tag:name:es,tag:name:fr,tag:fence_type,tag:name:lb,tag:settlement_type,tag:man_made,tag:barrier,tag:leisure,tag:source,tag:OnroerendErfgoed:criteria,tag:heritage:operator,tag:heritage:website,tag:image,tag:ref:OnroerendErfgoed,tag:start_date,tag:tourism,tag:building,tag:castle_type
node,333175552,12,2024-03-21T11:14:15Z,148956679,nauheimkennerin,21224322,50.3651837,8.7265959,yes,archaeological_site,roman,UNESCO-Weltkulturebe Römischer Wachturm,yes,Q116031243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1796082995,8,2023-07-15T11:16:46Z,138540638,ChillyDL,10627331,47.5565042,7.5904057,,archaeological_site,,Römische Umfassungmauer,,Q104230976,permissive,fortification,Die Informationsstelle ist mit einem Schlüssel gesichert. Dieser ist bei der Information im Innern des Basler Münsters erhältlich.,Informationsstelle der archäologischen Bodenforschung Basel,Apr-Sep: 10:00-17:00; Oct-Mar: 11:00-16:00; SH off,https://www.archaeologie.bs.ch,no,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1930543644,10,2026-01-28T15:29:46Z,177810460,Loïc Maing,3068618,49.9963009,8.2636571,,archaeological_site,roman,,yes,Q2202639,yes,fortification,,,,,no,"Category:Römisches Stadttor (Kästrich, Mainz)",de:Römisches Stadttor Mainz,,,,,,,,,,,,,,,,,,,,,,,,
node,3483897061,12,2023-10-01T13:47:03Z,141989255,tg4567,12500589,47.3726758,8.5408798,,archaeological_site,,Lindenhof-Keller,,Q62931744,,,"Der Lindenhof war einst Brennpunkt und Machtzentrum der städtischen Siedlung. Im Lindenhof-Keller mit seinen imposanten, historischen Mauern können heute die Reste des römischen Kastells und der mittelalterlichen Königspfalz besichtigt werden.",,,https://www.stadt-zuerich.ch/hbd/de/index/staedtebau/archaeo_denkmal/archaeo/geschichte/a_fenster/lindenhofkeller.html,,Category:Lindenhof-Keller,,-1,Линденхоф- Липовый двор,,,,,,,,,,,,,,,,,,,,,,
node,6358516450,3,2019-03-27T21:28:21Z,68604556,Glg11,29765,51.1835822,6.7231344,,archaeological_site,,Tuffsteine aus dem Römerlager,,,,,Römisches Lager Novaesium,,,,,,,,,stone,,,,,,,,,,,,,,,,,,,,,
node,6654634631,4,2025-07-08T11:58:35Z,168646444,nleanba,22665091,47.5293141,7.7206758,,archaeological_site,ancient_roman,Amphitheater Augusta Raurica,,Q29001161,,amphitheatre,,,,,,,,,,,Amphitheater Augusta Raurica,Augst Amphitheatre,,,,,,,,,,,,,,,,,,,
node,7878861331,3,2025-11-17T17:00:56Z,174781274,Reino Baptista,2820801,40.0992523,-8.4949195,,archaeological_site,ancient_roman,Fórum,yes,,,roman_forum,,,,,,,,,,,,Forum,late_antiquity,Foro,Forum,,,,,,,,,,,,,,,,
way,32545380,18,2025-02-11T17:42:51Z,162401002,Lyon-St-Clair,9060372,49.53922558888889,5.858248644444444,,archaeological_site,celtic,Titelberg,,,,settlement,,,,,,,lb:Kelteschen Oppidum um Tëtelbierg,,,,,,,,,bars,Tëtelbierg,oppidum,,,,,,,,,,,,,
way,104871217,6,2025-01-05T12:55:43Z,161019344,mstriewe,292007,49.75391126,6.66114754,,archaeological_site,ancient_roman,Franzensknüppchen,,Q1450060,,tumulus,,,,,,,de:Franzensknüppchen,,,,,,,,,,,,embankment,,,,,,,,,,,,
way,157929084,14,2025-09-26T20:24:55Z,172502184,chris66,43972,51.61394650714285,7.582473435714285,,archaeological_site,ancient_roman,Römerpark,,Q577724,,fortification,,,May-Sep Sa-Su 14:00-17:00,,yes,,de:Römerlager Oberaden,,,,,,,,,,,,,fence,park,,,,,,,,,,
way,168318389,2,2012-06-20T17:39:47Z,11961181,stroebe,708735,47.55540919999999,7.5923628375,,archaeological_site,,Keltische Befestigung «Murus Gallicus»,,,,,,Informationsstelle der archäologischen Bodenforschung Basel,,,,,,,,,,,,,,,,,,,,local knowledge,,,,,,,,,
way,346290310,8,2024-12-29T22:45:27Z,160770604,Eebie,715684,50.783635043749996,5.460070762499999,4,archaeological_site,roman,Romeinse Tempelsite,,Q4910752,permissive,temple,"grootschalig, op terrassen aangelegde Romeins tempelcomplex",,,,,Category:Roman temple of Tongeren,nl:Gallo-Romeins tempelcomplex Tongeren,,,,,,,,,,,,,,,,BE,OnroerendErfgoed,https://inventaris.onroerenderfgoed.be/erfgoedobjecten/200289,"File:Partial reconstruction of the Roman Temple over the remaining foundations, Atuatuca Tungrorum, Tongeren, Belgium (27645030025).jpg",2385,~C1,attraction,,
way,435021824,4,2025-07-21T09:48:58Z,169233858,wetterfroeschlein,4868205,51.74072197142856,7.167889485714286,,archaeological_site,,Römerbaustelle Aliso,,,,,LWL-Ausgrabung Aliso (Westtor),,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,
way,699387398,4,2023-07-15T11:16:46Z,138540638,ChillyDL,10627331,46.520347879999996,6.59475286,,archaeological_site,roman,Lousonna,,,private,settlement,,,,,,,,,,,,,,,,,,,,,,https://www.unil.ch/iasa/fr/home/menuinst/recherche/chantiers-archeologiques/vidy.html,,,,,,,,,
way,1054468269,2,2026-03-16T19:35:36Z,179968467,fthierygeo,8813335,47.58530558703704,8.300539374074072,,archaeological_site,ancient_roman,Römisches Kastell Tenedo,yes,Q25388900,yes,,,,,,,,de:Römisches Militärlager Zurzach,,,,,,,,,,,,,,,,,,,,,,,yes,castrum
