type,id,version,timestamp,changeset,user,uid,lat,lon,tag:collection,tag:historic,tag:moved,tag:name,tag:ref,tag:url:sketchfab,tag:wikidata,tag:indoor,tag:related:wikipedia,tag:wikimedia_commons,tag:wikipedia,tag:fixme,tag:length,tag:material,tag:access,tag:fee,tag:description,tag:ref:NRHE,tag:source,tag:level,tag:location,tag:historic:civilization,tag:ref:canmore,tag:width,tag:ruins,tag:image,tag:height,tag:moved:date
node,13677371107,5,2026-03-27T13:17:54Z,180502340,fthierygeo,8813335,55.864725,-4.313125,yes,hogback,yes,Govan Stone 2,"ECMS, 2 Lang 1",https://skfb.ly/6XTQr,Q136659904,,,,,,,,,,,,,,,,,,,,,
node,13677371179,5,2026-03-27T16:21:11Z,180511047,b-unicycling,1713634,55.8647405,-4.3131228,yes,hogback,yes,Govan Stone 3,"ECMS 12, Lang 3",https://skfb.ly/6XVFw,Q138806762,,,,,,,,,,,,,,,,,,,,,
node,13680563647,4,2026-03-27T16:28:54Z,180511435,b-unicycling,1713634,55.8647567,-4.3131185,yes,hogback,yes,Govan Stone 4,"ECMS 3, Lang 4",https://skfb.ly/6XWBE,Q138806836,,,,,,,,,,,,,,,,,,,,,
node,13681993023,4,2026-03-27T17:54:04Z,180515122,b-unicycling,1713634,54.0474864,-2.9018862,,hogback,yes,,,https://skfb.ly/68ZOK,Q15815766,yes,en:Hogback (sculpture),Category:Heysham hogback,en:Heysham hogback,,,,,,,,,,,,,,,,,
node,13683537467,1,2026-03-26T23:40:15Z,180479682,b-unicycling,1713634,56.0300129,-3.3019458,,hogback,yes,Inchcolm hogback,,https://skfb.ly/o999T,Q1623357,,,,,"move to exact location, it's somewhere in the abbey building",1.6,sandstone,,,,,,,,,,,,,,
node,13683570386,3,2026-03-27T17:52:27Z,180515055,b-unicycling,1713634,54.2469198,-1.0626247,,hogback,yes,,,https://skfb.ly/oupBU,Q138803526,,,File:A Hogback tombstone - geograph.org.uk - 7909871.jpg,,move to exact location,,,,,,,,,,,,,,,,
node,13683582841,3,2026-03-27T16:34:46Z,180511709,b-unicycling,1713634,56.1506622,-3.9084884,,hogback,,,,,Q138806849,no,,Category:Logie Kirk hogback 1,,,,,yes,no,,,,,,,,,,,,
node,13683582842,3,2026-03-27T16:36:28Z,180511800,b-unicycling,1713634,56.1506755,-3.9085423,,hogback,,,,,Q138806858,no,,,,,,,yes,no,fragmented hogback,,,,,,,,,,,
node,13683583575,2,2026-03-27T16:40:21Z,180512020,b-unicycling,1713634,56.7308089,-2.6615326,,hogback,yes,,,,Q138806864,,,File:Brechin Cathedral 20090616 hogback.jpg,,move to exact location,,,,,,,,,,,,,,,,
node,13683593953,2,2026-03-27T10:41:57Z,180495637,b-unicycling,1713634,56.100427,-4.6363451,,hogback,,,,,Q56293517,no,,Category:Luss hogback,,move to exact location,,,yes,,,319270,,,,,,,,,,
node,13683608999,2,2026-03-27T14:32:33Z,180505797,b-unicycling,1713634,54.3614391,-1.4264448,,hogback,yes,,,,Q138803696,yes,,Category:Brompton hogbacks,,move to exact location within the church,,,,,,,,,,,,,,,,
node,13683609206,2,2026-03-27T14:32:33Z,180505797,b-unicycling,1713634,54.3614383,-1.4264331,,hogback,yes,,,,Q138803643,yes,,Category:Brompton hogbacks,,move to exact location within the church,,,,,,,,,,,,,,,,
node,13683609207,3,2026-03-27T17:50:12Z,180514960,b-unicycling,1713634,54.3614367,-1.4264204,,hogback,yes,,,https://skfb.ly/pHUEp,Q138803608,yes,,Category:Brompton hogbacks,,move to exact location within the church,,,,,,,,,,,,,,,,
node,13683616068,2,2026-03-27T10:35:40Z,180495363,b-unicycling,1713634,55.5160269,-2.6008552,,hogback,,,,,Q138800703,no,,File:Hogback Grave Marker - geograph.org.uk - 5838529.jpg,,,,,yes,,,,wikimedia;Bing,,,,,,,,,
