type,id,lat,lon,tag:access,tag:access:conditional,tag:addr:city,tag:alt_name,tag:alt_name:en,tag:alt_name:etymology:wikidata,tag:alt_name:ga,tag:alt_name_1,tag:alt_name_2,tag:amenity,tag:area,tag:barrier,tag:bubbleid,tag:building,tag:check_date,tag:covered,tag:demolished,tag:denomination,tag:description,tag:description1,tag:disused,tag:disused:amenity,tag:disused:man_made,tag:drinkable:cup,tag:drinking_water,tag:fixme,tag:genus,tag:heritage,tag:heritage:operator,tag:heritage:website,tag:historic,tag:holy_well:cures:wikidata,tag:image,tag:intermittent,tag:landuse,tag:leisure,tag:level,tag:loc_name,tag:loc_name:etymology,tag:loc_name:etymology:wikidata,tag:locality,tag:logainm:ref,tag:man_made,tag:mapillary,tag:name,tag:name:1839,tag:name:de,tag:name:en,tag:name:etymology,tag:name:etymology:wikidata,tag:name:etymology:wikipedia,tag:name:ga,tag:name:ie,tag:natural,tag:note,tag:old_name,tag:old_name:etymology:wikidata,tag:operator,tag:patron_day,tag:place_of_worship,tag:pump,tag:ref:IE:niah,tag:ref:IE:nm,tag:ref:IE:smr,tag:religion,tag:saint:name,tag:service_times,tag:sketchfab,tag:source,tag:source:alt_name,tag:source:description,tag:source:name,tag:source:place_of_worship,tag:subject:wikidata,tag:subject:wikipedia,tag:survey:date,tag:tourism,tag:url:sketchfab,tag:was:amenity,tag:was:name,tag:was:natural,tag:was:place_of_worship,tag:was:service_times,tag:water,tag:water_source,tag:website,tag:well:cure,tag:wheelchair,tag:wikidata,tag:wikimedia_commons,tag:wikipedia
node,296103528,52.9988334,-8.8878891,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Tobereendoney,,,,,,,,,spring,,,,,,holy_well,,,,GA128-066001-,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,296181084,52.9750171,-8.9095759,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Tobereenatemple,,,Church Well,,Q16970,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,379721841,52.2352617,-6.835492,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Lady's Well,,,,,Q345,,,,spring,,,,,,holy_well,,,,WX045-028001-,christian,,,,,,,,,,,,attraction,,,,,,,,,,,,,,
node,411319278,52.2422928,-7.2939366,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Tobernanangle,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,413378701,52.0193676,-8.9893813,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Saint John's Well,,,,,Q40662,,,,spring,,,,,,holy_well,,,,CO048-083----,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,451716106,53.1427588,-6.908043,,,,,,,,,,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Brigid's Well,,,,,Q80979,,,,spring,,,,,,holy_well,,,,,,,,,,,,,,,en:Brigid_of_Kildare,,,,,,,,,,,,,,,,
node,475361780,53.0718941,-9.149817,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,622010723,53.5494814,-7.3523365,,,Culleen More,,,,,,,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Brigid's Well,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,survey,,,,,Q80979,en:Brigid_of_Kildare,,,,,,,,,,,,,,,,
node,863060709,52.2072767,-6.3847886,,,,,,,,,,place_of_worship,,,,,,,,,,,,,,,,"is it actually on this island (because it's not on the OS maps), but to the east of here",,,,,,,,,,,,,,,,,,,Holy well,,,,,,,,,,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,869300099,52.9574758,-7.4148001,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Saint Fintan's Well,,,,,Q3072671,,,,spring,,,,,,holy_well,,,,LA017-013----,christian,,,,,,,,,,,,,,,,,,,,,,,,Q127043273,,
