type,id,lat,lon,tag:access,tag:alt_name,tag:archaeological_site,tag:colour,tag:depth,tag:description,tag:discovery:date,tag:fixme,tag:height,tag:heritage,tag:heritage:operator,tag:historic,tag:historic:civilization,tag:image,tag:image:license,tag:indoor,tag:inscription,tag:inscription:en,tag:inscription:la,tag:inscription:pgl-Latn,tag:level,tag:loc_name,tag:location,tag:material,tag:moved,tag:moved:from,tag:moved_date,tag:moved_from,tag:moved_from:wikidata,tag:moved_to:wikidata,tag:name,tag:name:en,tag:name:ga,tag:note,tag:project,tag:ref,tag:ref:IE:ciic,tag:ref:IE:cpm,tag:ref:IE:nm,tag:ref:IE:smr,tag:ref:IE:ucc,tag:related:wikidata,tag:related:wikipedia,tag:sketchfab,tag:source,tag:source:inscription,tag:source:inscription:pgk-Latn,tag:source:inscription:pgl-Latn,tag:source:ref,tag:source_ref,tag:tourism,tag:url,tag:url:ogham3D,tag:url:sketchfab,tag:website,tag:width,tag:wikidata,tag:wikimedia_commons,tag:wikipedia
node,452289802,51.7640921,-10.1218702,,,,,,,,,,2,IE:smr:IE:nm,ogham_stone,,,,,,,,,,,,,,,,,,,Darrynane Beg Ogham Stone,,Cloch Oghaim Dhoire Fhíonáin Beag,,,,,,346,KE106-113,,,,,,,,,,,,,,,,,Q42377707,,en:Darrynane Beg Ogham Stone
node,473149586,51.7129549,-9.9441746,,,,,,,,,,2,IE:smr:IE:nm,ogham_stone,,,,,,,,,,,,,,,,,,,Ballycrovane Ogham Stone,,,,,,,,426,CO102-013----,,,,co102-013-ogham-faunkill-and-the-woods-78f64a9071d441a8bb97eb8e8447b45a,,,,,,,attraction,,,https://skfb.ly/oMGRU,,,Q805400,,en:Ballycrovane Ogham Stone
node,600221596,52.9958374,-6.5363958,,,,,,,,,,2,IE:smr,ogham_stone,,,,,,,,,,,,granite,,,,,,,The Long Stone,,,,,,,,,WI022-012----,,,,,,,,,,,,,,,https://ogham.celt.dias.ie/search.php?ciic=51,,,,
node,1275923177,52.2578184,-10.2484763,,Brandon Monument,,,,,,,,2,,ogham_stone,,,,,,,QRIMITIR RO/Ṇ[A]/ṆN MAQ̣ COMOGANN,,,,,,,,,,,,Arraglen Ogham Stone,,,,,,,,221.01;10029,KE025-002----,,,,,,wikipedia,,,,,,,,,,,Q48797670,File:Ogham Stone (geograph 2391021).jpg,en:Arraglen Ogham Stone
node,2428911148,52.8273179,-6.570098,,,,,,,,,,2,IE:smr,ogham_stone,,,,,,,,,,,,,,,,,,,,,,temporary trial re DIAS permission BH/NW,,,,,,CW009-028021,,,,,,,,,,,,,,,https://ogham.celt.dias.ie/search.php?ciic=15,,,,
node,3220290865,54.2465,-9.2536375,,,,,,,,,,2,IE:smr,ogham_stone,,,,,,,,,,,,,,,,,,,Breastagh Ogham Stone,,,,,,,,,MA015-018001,,,,,,,,,,,,,,,,,Q28232526,,en:Breastagh Ogham Stone
node,3621783646,53.0215908,-6.613205,,,,,,,,,,2,IE:smr,ogham_stone,,,,,,,,,,,,,yes,,,,,,,,,Ogham Stone (OSM Historical),,,,,,WI021-004,,,,,,,,,,,,,,,https://ogham.celt.dias.ie/search.php?ciic=48,,,,
node,3663314804,51.6447272,-8.8857259,,,,,,,,,,2,IE:smr,ogham_stone,,,,,,,,,,,,,,,,,,,Templebryan North Ogham Stone,,,,,,,,,CO122-075004-,,,,,,,,,,,,,,,,,Q21036926,,de:Oghamstein von Templebryan North
node,4395991496,52.1357501,-10.1307379,,,,,,,,separate two ogham stones and map as two nodes,,2,IE:smr,ogham_stone,,,,,,,,,,,,,,,,,,,Lugnagappul Ogham Stones,Lugnagappul Ogham Stones,,two ogham stones,,,,,,KE054-033004-;KE054-033002-,,,,,,,,,,,,,,,,,Q2016156,,
node,5111098877,52.4465553,-7.365915,,,,,,lying flat on the ground,,,,2,IE:smr,ogham_stone,,,,,,,,,,,,,,,,,,,Lamoge Ogham Stone 1,,,,,,,,,KK034-013004-,,,,lamogue-kk034-013004-905ec11e2d6b46ac8e1948353c04e55f,,,,,,,,,,https://skfb.ly/oMGSG,,,,,
node,5111098878,52.4465447,-7.3658922,,,,,,"lying flat on the ground, more triangular in shape",,,,2,IE:smr,ogham_stone,,,,,,,,,,,,,,,,,,,Lamoge Ogham Stone 2,,,,,,,,,KK034-013003-,,,,lamogue-kk034-013003-8a67b4b09dc0435c8b74c8f44811738c,,,,,,,,,,https://skfb.ly/oMGSF,,,,,
node,5145413640,52.1102541,-10.4731829,,,,,,,,,,2,IE:smr,ogham_stone,,,,,ERC MAQI MAQI-ERCIAS MU DOVINIA,,,,,,,,no,,,,,,CIIC 178,,,,ogham.link,,,,,KE052-059002-,,,,,survey,,,,,,,,,,,,Q70892682,File:Coumeenoole_Ogham_Stone_(Dunmore_Head).jpg,
node,5965037771,52.579261,-7.1300141,yes,Loughboreen Ogham Stone,,,,Standing upright. Measurements taken at widest and tallest point above ground level,,,1.64,2,IE:smr,ogham_stone,,http://www.megalithicireland.com/Ogham%20stones/Tullaherin%20Ogham%20Stone.jpg,,,,,,,,,,,yes,Loughboreen,,,,,Tullaherin Ogham Stone II,,,,,,,,,KK024-062009-,,,,,local knowledge,,,,,"""In the Shadow of the Steeple"" Vol 1. 1987",,,,https://skfb.ly/oRsN8,,0.54,Q106674357,Category:Tullaherin ogham stone II,
node,6810674728,52.0607426,-9.6334553,,,,,,,,,,2,IE:smr:IE:nm,ogham_stone,,,,,MAQI-DECEDA MAQ̣[I],,,,,,,stone,,,,,,,CIIC 203,,,,,,,,385,KE065-078008-,,,,,,,,,,,,,,,,,Q67978531,,en:Dunloe Ogham Stones
node,7082266109,52.27578,-9.6430037,,,,,,,,"move to exact location, might be inside the gate; separate two stones into two entries",,2,,ogham_stone,,,,,,,,,,,,,,,,,,,Tullygarran Ogham Stones,,,two ogham stones,,,,,295,KE029-241----;KE029-132----,,,,,,,,,,,attraction,,,,http://megalithicireland.com/Tullygarran%20Ogham%20Stones%20Kerry.html?src=gpx,,Q40888587,File:Tullygarran Ogham Stones.jpg,en:Tullygarran ogham stones
node,7082293699,52.2670369,-9.6818467,,,,,,,,,,2,,ogham_stone,,,,,[A]NM SILLANN MAQ VATTILLOGG,,,,,,,sandstone,,,,,,,,,,,,,,,57,KE029-157002-,,,,,,,,,,,,,,,"http://megalithicireland.com/Ratass%20Church,%20Tralee,%20Kerry.html?src=gpx",,Q30247114,,en:Ratass Church
node,7110849500,52.655473,-7.1460785,yes,,,,,"Part of the church wall, low in the wall, left of the entrance.",,,0.23,2,IE:smr,ogham_stone,,,,,,f Gelán grandson of..?,,G[E]LẠGN[I A]V[I ̣ ̣ ? ̣ ̣,,,,sandstone,yes,,,,,Q123024121,Churchclara Ogham Stone II,,,,,,,,,KK020-017010-,,,,,survey;https://ogham.celt.dias.ie,https://ogham.celt.dias.ie,,,,https://ogham.celt.dias.ie/stone.php?lang=en&site=Churchclara&stone=Churchclara_II,,,,https://skfb.ly/oM87P,,1.12,,,
node,7110849501,52.655441,-7.1458376,yes,,,,,,,,0.22,2,IE:smr,ogham_stone,,,,,,,,TAṢ[EGA]GN[I]/ [MAQ(?)]/ Ị MUC[O]Ị MAC̣[O]Ṛ[BO],,,east window on the outside of the wall,sandstone,yes,,,,,Q123024121,Churchclara Ogham Stone I,,,,,,,,,KK020-017003-,,,,,survey;O'Kelly's Placenames p. 66,https://ogham.celt.dias.ie,,,,https://ogham.celt.dias.ie/stone.php?lang=en&site=Churchclara&stone=28._Churchclara_I,,,,,,1.56,,,
node,7203972860,52.1788809,-10.3881606,,,megalith,,,,,,,yes,,ogham_stone,,,,,CUNAMAQQI CORBBI MAQQ[I MUCCOI DOVVINIA]S,,,,,,,,no,,,,,,Ballinrannig Stone VII (CIIC 154),,,,ogham.link,,,,,KE042-057003-,,,,,survey,,,,,,,,,,,,Q30247257,File:County_Kerry_-_Ballinrannig_Stone_-_20060103222940.jpg,
node,7925063785,51.9488162,-7.7259219,,,,,,,,,,,,ogham_stone,,,,,,,,,,,,,,,,,,,Lugudeccas Stone,,,,,,,,,WA040-008025-,,,,,,,,,,,,,,,,,Q19297554,,
node,8308921075,52.4642462,-7.2251274,yes,,,,,"Lying flat on the ground, surrounded by wooden fence.",,,,2,,ogham_stone,,,,,,,,,,,,,,,,,,,Ballyboodan Ogham Stone,,,,,,,,599,KK031-058,,,,ballyboodan-ogham-stone-6b733b9fd210496bbe555b3c426ff182,,,,,,,,,,https://skfb.ly/FJFG,,,Q28232281,Category:Ballyboodan Ogham Stone,en:Ballyboodan Ogham Stone
node,8355471227,52.5619056,-8.7788645,,,,,,,,heights need to be measured and context shot taken to identify them and attribute ref:IE:smr,,,,ogham_stone,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8355471228,52.5619303,-8.7788896,,,,,,,,heights need to be measured and context shot taken to identify them and attribute ref:IE:smr,,,,ogham_stone,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8355471229,52.561976,-8.7788418,,,,,,,,heights need to be measured and context shot taken to identify them and attribute ref:IE:smr,,,,ogham_stone,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8355471230,52.561926,-8.778782,,,,,,,,heights need to be measured and context shot taken to identify them and attribute ref:IE:smr,,,,ogham_stone,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8355471231,52.5619817,-8.7787799,,,,,,,,,1.4,,,ogham_stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8494707479,52.5792662,-7.1299631,yes,,,,,"White, standing ogham stone.",,,0.66,2,IE:smr,ogham_stone,medieval,,,,,,,,,,,,no,,,,,,Tullaherin Ogham Stone I,,,The dimensions are measured from the widest point and the highest point from above the ground.,,,,,,KK024-062005-,,,,,local knowledge,,,,,"""In the Shadow of the Steeple"" Vol 1. 1987",,,,https://skfb.ly/oRsPU,,0.23,Q106674310,Category:Tullaherin Ogham stone I,
node,8520931982,52.6542733,-7.254818,customers,,,,,"Find location was near Shankill, Co. Kilkenny in 1970. Authenticity is doubted. Location varies, periodically moved within the museum.",,,0.58,2,IE:smr,ogham_stone,,,,,,of Mac-Conlach/Conlang son of Cóel descendant of Cosc,,MAQICUNALIGẸẠṢ / MAQI COILLI/ MUCOI COSCỊ/̣ẸẠṢ,2,,,carboniferous limestone,,,,,,,,,,,,,,,,KK019-131----,,,,shankill-kk019-131-65c3c5e326e442ffad8f87e2a533a070,museum's label,,,,,https://ogham.celt.dias.ie/stone.php?lang=en&site=Rothe_House&stone=Shankill&stoneinfo=description,,,,https://skfb.ly/6TZ6U,,0.14,,,
node,8520962885,52.5108035,-7.1574784,customers,,,,0.2,Original location was Cloghabrody north of Thomastown.,,,1.46,2,IE:smr,ogham_stone,,,,,,of Fedelmid/Feidlimid descendant of Loígde grandson of Muinchú,,VEDDELLEMETTO MU/CI/ LOGIDDEAS/ AVVI MUNICCONA,,,,,yes,,,,,,,,,,,,,,,KK028-062011-,,,,,local knowledge,,,,https://ogham.celt.dias.ie/stone.php?lang=en&site=Jerpoint_Abbey&stone=Cloghabrody,,,,,https://skfb.ly/oMGSR,,0.31,,,
node,8584276628,52.1691185,-9.7258022,,,,,,,,,,2,,ogham_stone,,,,,,,,,,,,,yes,,,,,,Ardcanaght Ogham Stone,,,,,,,,430,KE047-026001-,,,,,https://ogham.celt.dias.ie/stone.php?lang=en&site=Ardcanaght&stone=246a._Ardcanaght_I,,,,,,,,,,,,Q38251860,,en:Ardcanaght Stones
node,9110402648,52.1847478,-10.3364628,,,,,,,,,,2,IE:smr,ogham_stone,,https://www.flickr.com/photos/196367420@N05/52324823400/in/album-72177720301745883/,,,ẠṆM MẠỊLE-INBIR MACI BROCANN,,,,,,,,no,,,,,,CIIC 187,,,,ogham.link,,,,,KE042-026001,,,,kilmalkedar-ogham-stone-rgb-27a2344de48842978505db558cc0712c,https://holywellscorkandkerry.com/2019/08/21/two-wells-a-whole-lot-more-at-cill-mhaoilcheadair/;survey,,,,,,,,,https://skfb.ly/6opHY,,,Q70892706,,
node,9990835587,51.8937512,-8.4922982,,,,,0.55,,,,,,,ogham_stone,,https://flic.kr/p/2omvCu6,CC BY-NC-SA 2.0,yes,GRIMIGGN[I MAQ]I CERC...,,,GRI[ ]GGN CERR...,,,,,yes,,,"Knockshanawee, Co. Cork souterrain",,Q69379477,CIIC 114/ UCC 26,,,,ogham.link,,,,,CO074-139----,,,,,survey,,,,,,,,,,,0.15,Q70885736,,
node,10040750611,53.3439268,-6.2564185,,,,,,,,,,2,IE:smr,ogham_stone,,,,,ANM VEDLI OIGGOI MACI SEDDOINI,,,,,,,,yes,,,,,Q258464,CIIC 137 / TCBKD A,,,,ogham.link,,,,,DU018-294----,,,,,survey,,,,,,,,,,,,Q70892569,,
node,10040757680,52.0767683,-9.5543233,,,,,,,,,,2,IE:smr,ogham_stone,,,,,BRRUANANN,,,,,,,,no,,,,,,CIIC 242,,,,ogham.link,,,,,KE066-016009-,,,,,survey,,,,,,,,,,,,Q70892852,,
node,10041491619,52.136177,-10.1379247,,,,,,,,,,2,IE:smr,ogham_stone,,,,,... MAQI MAQ[I-...O]GGODIKA,,,,,,,,no,,,,,,CIIC 141,,,,ogham.link,,,,,KE054-032003-,,,,,survey,,,,,,,,,,,,Q70892578,,
node,10041927343,52.1361046,-10.1376772,,,,,,,,,,2,IE:smr,ogham_stone,,,,,...] CELI AVI VU[...,,,,,,,,no,,,,,,CIIC 142,,,,ogham.link,,,,,KE054-032004,,,,ke054-032004-aglish-oghamstone-ac451e7f6dfb4d1b9effd8017ba6b5cc,survey,,,,,,,,,https://skfb.ly/ovOwS,,,Q70892582,,
node,10560404607,51.8936981,-8.4924824,,,,,,,,,,,,ogham_stone,,,,yes,GRILAGNI MAQI SCILAGNI,,,CLIUCOANAS MAQI MAQI-TR[E]NI,0,,,,yes,,,"Ballyknock, Co. Cork",,Q69379477,CIIC 86 / UCC 18,,,,ogham.link,CIIC 86,,,,CO074-162----,18,,,,survey,,,information panel,,,,,,,,,Q106680741,,
node,10563395863,53.3439213,-6.2563912,,,,,,,,,,2,IE:smr,ogham_stone,,,,,[CO?]BB[A?] AVI VLATIAMI MAQ...,,,,,,,,yes,,,,,Q258464,CIIC 185 / TCBKD B,,,,ogham.link,,,,,DU018-294----,,,,,servey,,,,,,,,,,,,Q106680858,,
node,10594924965,52.9442531,-6.613909,,,,,,,,,,2,,ogham_stone,,,,,,,,,,,,,,,,,,,Crossoona Ogham Stone,,,,,,,,418,WI027-038002,,,,,,,,,,,,,,,,,Q28232133,,en:Crossoona Rath
node,10594973066,52.9046431,-6.0714863,,,,,,,,check location,,2,,ogham_stone,,,,,,,,,,The Giant's Stone,,,,,,,,,Castletimon Ogham Stone,,,,,,,,304,WI036-010----,,,,,,,,,,,,,,,,,Q28232123,,en:Castletimon Ogham Stone
node,10601966811,53.8343177,-8.3699177,,,,,,white line on Bing could be the fallen ogham stone,,,,2,,ogham_stone,,,,,,,,,,,,,,,,,,,,,,,,,,,650,RO015-051004-,,,,,,,,,,,,,,,,,Q116689501,,
node,10601966825,53.834366,-8.3698983,,,,,,,,,,2,,ogham_stone,,,,,,,,,,,,,,,,,,,,,,,,,,,650,RO015-051001-,,,en:Drummin fort,,Bing,,,,,,,,,,,,Q116689501,,
node,10633917137,52.0780035,-8.6068654,,,,,,,,,,2,IE:smr;IE:nm,ogham_stone,,,,,,,,,,,,,,,,,,,,,,,,,,,552,CO042-049001-,,,,,,,,,,,,,,,,,Q29587056,,en:Greenhill Ogham Stones
node,10633917138,52.0776095,-8.6068319,,,,,,,,,,2,IE:smr;IE:nm,ogham_stone,,,,,,,,,,,,,,,,,,,,,,,,,,,552,CO042-049002-,,,,,,,,,,,,,,,,,Q29587056,,en:Greenhill Ogham Stones
node,10639514250,52.1767439,-10.2225267,,,,,,,,,,2,,ogham_stone,,,,,,,,,,,,,,,,,,,Ballybowler North Ogham Stone,,,estimated location using wikipedia coordinates,,,,,221,,,,,,,,,,,,,,,,,,Q78062999,,en:Ballybowler North Ogham Stone
node,10652133873,51.88842,-10.183724,,,,,,,,,,2,IE:smr:IE:nm,ogham_stone,,,,,,,,,,,,,yes,,,,,,,,,,,,,,228,KE089-011001,,,,cloghanecarhan-ogham-stone-22bec10b6158442f9e5b02d33122d833,,,,,,,,,,https://skfb.ly/KqYr,,,Q38251789,,en:Cloghanecarhan
