type,id,version,timestamp,changeset,user,uid,lat,lon,tag:heritage,tag:heritage:operator,tag:historic,tag:name,tag:name:ga,tag:ref:IE:nm,tag:ref:IE:smr,tag:wikidata,tag:wikipedia,tag:sketchfab,tag:tourism,tag:url:sketchfab,tag:material,tag:website,tag:alt_name,tag:inscription:la,tag:source:inscription,tag:wikimedia_commons,tag:note,tag:moved,tag:fixme,tag:name:en,tag:description,tag:inscription,tag:project,tag:source,tag:access,tag:height,tag:image,tag:moved:from,tag:source_ref,tag:width,tag:inscription:en,tag:inscription:pgl-Latn,tag:moved_to:wikidata,tag:location,tag:archaeological_site,tag:historic:civilization,tag:level,tag:depth,tag:source:ref,tag:image:license,tag:indoor,tag:moved_from,tag:ref,tag:ref:IE:ucc,tag:source:inscription:pgl-Latn,tag:loc_name,tag:related:wikipedia,tag:related:wikidata,tag:url:ogham3D,tag:colour,tag:moved_from:wikidata,tag:ref:IE:ciic,tag:moved_date,tag:discovery:date,tag:source:inscription:pgk-Latn,tag:ref:IE:cpm,tag:url
node,452289802,5,2024-11-26T14:56:33Z,159620587,geozeisig,66391,51.7640921,-10.1218702,2,IE:smr:IE:nm,ogham_stone,Darrynane Beg Ogham Stone,Cloch Oghaim Dhoire Fhíonáin Beag,346,KE106-113,Q42377707,en:Darrynane Beg Ogham Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,473149586,11,2024-11-26T14:56:33Z,159620587,geozeisig,66391,51.7129549,-9.9441746,2,IE:smr:IE:nm,ogham_stone,Ballycrovane Ogham Stone,,426,CO102-013----,Q805400,en:Ballycrovane Ogham Stone,co102-013-ogham-faunkill-and-the-woods-78f64a9071d441a8bb97eb8e8447b45a,attraction,https://skfb.ly/oMGRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,600221596,9,2025-04-22T20:10:05Z,165302708,Dafo43,114051,52.9958374,-6.5363958,2,IE:smr,ogham_stone,The Long Stone,,,WI022-012----,,,,,,granite,https://ogham.celt.dias.ie/search.php?ciic=51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1275923177,12,2024-05-06T12:42:24Z,150963379,b-unicycling,1713634,52.2578184,-10.2484763,2,,ogham_stone,Arraglen Ogham Stone,,221.01;10029,KE025-002----,Q48797670,en:Arraglen Ogham Stone,,,,,,Brandon Monument,QRIMITIR RO/Ṇ[A]/ṆN MAQ̣ COMOGANN,wikipedia,File:Ogham Stone (geograph 2391021).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2428911148,8,2024-12-22T09:47:54Z,160494986,geozeisig,66391,52.8273179,-6.570098,2,IE:smr,ogham_stone,,,,CW009-028021,,,,,,,https://ogham.celt.dias.ie/search.php?ciic=15,,,,,temporary trial re DIAS permission BH/NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3220290865,3,2024-12-10T07:19:59Z,160117665,geozeisig,66391,54.2465,-9.2536375,2,IE:smr,ogham_stone,Breastagh Ogham Stone,,,MA015-018001,Q28232526,en:Breastagh Ogham Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3621783646,5,2024-12-22T09:47:54Z,160494986,geozeisig,66391,53.0215908,-6.613205,2,IE:smr,ogham_stone,,,,WI021-004,,,,,,,https://ogham.celt.dias.ie/search.php?ciic=48,,,,,Ogham Stone (OSM Historical),yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3663314804,5,2024-11-27T14:04:08Z,159661420,geozeisig,66391,51.6447272,-8.8857259,2,IE:smr,ogham_stone,Templebryan North Ogham Stone,,,CO122-075004-,Q21036926,de:Oghamstein von Templebryan North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4395991496,5,2024-11-26T14:56:33Z,159620587,geozeisig,66391,52.1357501,-10.1307379,2,IE:smr,ogham_stone,Lugnagappul Ogham Stones,,,KE054-033004-;KE054-033002-,Q2016156,,,,,,,,,,,two ogham stones,,separate two ogham stones and map as two nodes,Lugnagappul Ogham Stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5111098877,7,2024-12-19T06:38:32Z,160379214,geozeisig,66391,52.4465553,-7.365915,2,IE:smr,ogham_stone,Lamoge Ogham Stone 1,,,KK034-013004-,,,lamogue-kk034-013004-905ec11e2d6b46ac8e1948353c04e55f,,https://skfb.ly/oMGSG,,,,,,,,,,,lying flat on the ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5111098878,8,2024-12-19T06:38:32Z,160379214,geozeisig,66391,52.4465447,-7.3658922,2,IE:smr,ogham_stone,Lamoge Ogham Stone 2,,,KK034-013003-,,,lamogue-kk034-013003-8a67b4b09dc0435c8b74c8f44811738c,,https://skfb.ly/oMGSF,,,,,,,,,,,"lying flat on the ground, more triangular in shape",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5145413640,10,2024-11-27T14:04:08Z,159661420,geozeisig,66391,52.1102541,-10.4731829,2,IE:smr,ogham_stone,CIIC 178,,,KE052-059002-,Q70892682,,,,,,,,,,File:Coumeenoole_Ogham_Stone_(Dunmore_Head).jpg,,no,,,,ERC MAQI MAQI-ERCIAS MU DOVINIA,ogham.link,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
