site_id,site_name,latitude,longitude,has_match,num_candidates,osm_name,osm_id,distance_km,name_similarity,score,osm_lat,osm_lon
141,Sofular cave,41.4167,31.9333,True,1,Sofular Cave,9249065418.0,4.221,1.0,0.747,41.4468862,31.9640002
117,Bunker cave,51.3675,7.6647,True,13,Unnamed,2970889617.0,0.25,0.462,0.608,51.3670217,7.668219
9,Tonnel’naya cave,38.4,67.23,True,3,пещера Вьюнок,9186866184.0,2.363,0.0,0.158,38.3801461,67.2396794
58,Spannagel cave,47.08,11.67,True,2,Spannagelhöhle,1488744824.0,0.107,0.783,0.841,47.080068,11.6714154
115,Hölloch im Mahdtal,47.3781,10.1506,True,3,Hölloch,923447187.0,0.032,0.56,0.69,47.3778454,10.1503983
140,Sanbao cave,31.667,110.4333,False,0,,,,,,,
10,Jaraguá cave,-21.083,-56.583,True,1,Grutas de São Miguel,2382055157.0,2.897,0.222,0.282,-21.1088045,-56.5791201
1,Bittoo cave,30.7903,77.7764,True,2,Gorcha cave,11300105382.0,0.052,0.167,0.414,30.7902977,77.7769496
107,Yok Balum cave,16.2086,-89.0735,True,4,Hokeb Ha Cave,2042179856.0,2.647,0.471,0.471,16.2072938,-89.0487492
54,Sahiya cave,30.6,77.8667,False,0,,,,,,,
12,Mawmluh cave,25.2622,91.8817,False,0,,,,,,,
55,Sieben Hengste cave,46.75,7.81,True,5,Tropfloch,1808682279.0,2.0,0.087,0.241,46.7573413,7.8339681
24,Lapa sem fim cave,-16.1503,-44.6281,False,0,,,,,,,
289,Gassel Tropfsteinhöhle,47.8228,13.8428,True,4,Gasselhöhle,1389940709.0,0.037,0.667,0.764,47.8231298,13.8427464
116,Bukit Assam cave,4.03,114.8,True,19,Unnamed,10135316701.0,1.493,0.333,0.444,4.0193263,114.8081589
101,Klapferloch cave,46.95,10.55,False,0,,,,,,,
145,Antro del Corchia,43.9833,10.2167,True,31,Buca del Lencio,11307578345.0,2.0,0.5,0.53,43.9723324,10.2365046
39,Dongge cave,25.2833,108.0833,False,0,,,,,,,
3,Paraiso cave,-4.0667,-55.45,False,0,,,,,,,
139,Oregon caves national monument,42.0981,-123.4072,True,2,Unnamed,3427512355.0,0.015,0.312,0.518,42.0981425,-123.4073708
181,Forestry cave,-9.489,159.974,False,0,,,,,,,
221,La Vierge cave,-19.7572,63.3703,True,3,La Grande Caverne,6632690571.0,0.461,0.571,0.672,-19.7530598,63.3705474
339,Pozzo Cucù cave,40.9,17.16,True,2,Grotte di Castellana,140151266.0,2.804,0.2,0.272,40.8763201,17.1485159
205,São Bernardo cave,-13.81,-46.35,False,0,,,,,,,
94,Anjohibe,-15.53,46.88,True,2,Anjohibe,2510360072.0,1.483,1.0,0.911,-15.5422892,46.8853815
100,Katerloch cave,47.0833,15.55,False,0,,,,,,,
105,Schneckenloch cave,47.4333,9.8667,False,0,,,,,,,
104,Liang Luar,-8.53,120.43,True,1,Liang Bua,4285191320.0,1.488,0.842,0.8,-8.5308192,120.4435024
333,Neotektonik cave,46.7833,8.2667,True,4,Bettenhöhle,13324454762.0,1.809,0.364,0.446,46.7880545,8.2894275
250,Wuya cave,33.82,105.43,False,0,,,,,,,
122,Heshang cave,30.45,110.4167,False,0,,,,,,,
325,Larga cave,18.32,-66.8,True,2,Cueva del Arco,3269827185.0,2.982,0.316,0.342,18.3159809,-66.7720735
