site_id,site_name,latitude,longitude,n_d18o_samples,n_d13c_samples,has_osm_match,total_osm_elements,best_match_name,best_match_distance_km,best_match_name_similarity,best_match_category,best_match_osm_id,best_match_score,best_match_lat,best_match_lon,match_reason
58,Spannagel cave,47.08,11.67,8939,2484,True,2,Spannagelhöhle,0.107,0.783,cave_entrance,node/1488744824,0.841,47.080068,11.6714154,Moderate name match (sim: 0.78)
289,Gassel Tropfsteinhöhle,47.8228,13.8428,3029,3029,True,7,Gasselhöhle,0.037,0.667,cave_entrance,node/1389940709,0.764,47.8231298,13.8427464,Moderate name match (sim: 0.67)
141,Sofular cave,41.4167,31.9333,9265,3962,True,1,Sofular Cave,4.221,1.0,cave_entrance,node/9249065418,0.747,41.4468862,31.9640002,Strong name match (sim: 1.00)
115,Hölloch im Mahdtal,47.3781,10.1506,5530,5530,True,6,Hölloch,0.032,0.56,cave_entrance,node/923447187,0.69,47.3778454,10.1503983,Moderate name match (sim: 0.56)
117,Bunker cave,51.3675,7.6647,6356,6356,True,13,Unnamed,0.25,0.462,cave_entrance,node/2970889617,0.608,51.3670217,7.668219,Close proximity (0.25 km)
145,Antro del Corchia,43.9833,10.2167,2852,2740,True,31,Buca del Lencio,2.0,0.5,cave_entrance,node/11307578345,0.53,43.9723324,10.2365046,Within search radius (2.00 km)
139,Oregon caves national monument,42.0981,-123.4072,2680,2680,True,2,Unnamed,0.015,0.312,cave_entrance,node/3427512355,0.518,42.0981425,-123.4073708,Close proximity (0.01 km)
107,Yok Balum cave,16.2086,-89.0735,4047,4047,True,4,Hokeb Ha Cave,2.647,0.471,cave_entrance,node/2042179856,0.471,16.2072938,-89.0487492,Within search radius (2.65 km)
116,Bukit Assam cave,4.03,114.8,4827,862,True,19,Unnamed,1.493,0.333,cave_entrance,node/10135316701,0.444,4.0193263,114.8081589,Within search radius (1.49 km)
1,Bittoo cave,30.7903,77.7764,4167,4167,True,2,Gorcha cave,0.052,0.167,cave_entrance,node/11300105382,0.414,30.7902977,77.7769496,Close proximity (0.05 km)
10,Jaraguá cave,-21.083,-56.583,4358,4358,True,1,Grutas de São Miguel,2.897,0.222,cave_entrance,node/2382055157,0.282,-21.1088045,-56.5791201,Within search radius (2.90 km)
55,Sieben Hengste cave,46.75,7.81,5720,1439,True,5,Tropfloch,2.0,0.087,cave_entrance,node/1808682279,0.241,46.7573413,7.8339681,Within search radius (2.00 km)
9,Tonnel’naya cave,38.4,67.23,5880,5880,True,3,пещера Вьюнок,2.363,0.0,cave_entrance,node/9186866184,0.158,38.3801461,67.2396794,Within search radius (2.36 km)
