"site_id","site_name","wkt","n_d18o_samples","n_d13c_samples"
141,"Sofular cave","POINT(31.9333 41.4167)","9265","3962"
117,"Bunker cave","POINT(7.6647 51.3675)","6356","6356"
9,"Tonnel’naya cave","POINT(67.23 38.4)","5880","5880"
58,"Spannagel cave","POINT(11.67 47.08)","8939","2484"
115,"Hölloch im Mahdtal","POINT(10.1506 47.3781)","5530","5530"
140,"Sanbao cave","POINT(110.4333 31.667)","9535","0"
10,"Jaraguá cave","POINT(-56.583 -21.083)","4358","4358"
1,"Bittoo cave","POINT(77.7764 30.7903)","4167","4167"
107,"Yok Balum cave","POINT(-89.0735 16.2086)","4047","4047"
54,"Sahiya cave","POINT(77.8667 30.6)","3734","3734"
12,"Mawmluh cave","POINT(91.8817 25.2622)","4701","2480"
55,"Sieben Hengste cave","POINT(7.81 46.75)","5720","1439"
24,"Lapa sem fim cave","POINT(-44.6281 -16.1503)","4229","2218"
289,"Gassel Tropfsteinhöhle","POINT(13.8428 47.8228)","3029","3029"
116,"Bukit Assam cave","POINT(114.8 4.03)","4827","862"
101,"Klapferloch cave","POINT(10.55 46.95)","2814","2814"
145,"Antro del Corchia","POINT(10.2167 43.9833)","2852","2740"
39,"Dongge cave","POINT(108.0833 25.2833)","5404","0"
3,"Paraiso cave","POINT(-55.45 -4.0667)","3184","2179"
139,"Oregon caves national monument","POINT(-123.4072 42.0981)","2680","2680"
181,"Forestry cave","POINT(159.974 -9.489)","2679","2679"
221,"La Vierge cave","POINT(63.3703 -19.7572)","2666","2666"
339,"Pozzo Cucù cave","POINT(17.16 40.9)","2658","2658"
205,"São Bernardo cave","POINT(-46.35 -13.81)","3428","1714"
94,"Anjohibe","POINT(46.88 -15.53)","2553","2553"
100,"Katerloch cave","POINT(15.55 47.0833)","2534","2534"
105,"Schneckenloch cave","POINT(9.8667 47.4333)","2477","2477"
104,"Liang Luar","POINT(120.43 -8.53)","2715","2047"
333,"Neotektonik cave","POINT(8.2667 46.7833)","2285","2285"
250,"Wuya cave","POINT(105.43 33.82)","2282","2282"
122,"Heshang cave","POINT(110.4167 30.45)","2086","2086"
325,"Larga cave","POINT(-66.8 18.32)","2049","2032"
123,"Milchbach cave","POINT(8.083 46.6167)","1995","1995"
262,"Bleßberg cave","POINT(11.0203 50.4244)","1957","1957"
308,"GD8","POINT(-21.7468 80.3777)","1918","1918"
130,"Dandak cave","POINT(82 19)","1874","1871"
226,"Cueva del Diamante","POINT(-77.5 -5.73)","1830","1833"
11,"Jeita cave","POINT(35.65 33.95)","1830","1830"
70,"Abaco Island cave","POINT(-77.16 26.23)","1828","1828"
183,"Dos Anas cave","POINT(-83.97 22.38)","1823","1824"
209,"Uluu-Too cave","POINT(72.35 40.4)","1807","1807"
219,"Shennong cave","POINT(117.26 28.71)","1800","1800"
177,"Santo Tomas cave","POINT(-83.84 22.55)","1771","1778"
23,"Lapa grande cave","POINT(-44.28 -14.37)","2668","758"
136,"Juxtlahuaca cave","POINT(-99.2 17.4)","2698","679"
132,"Kleegruben cave","POINT(11.67 47.08)","1633","1633"
60,"Taurius cave","POINT(167.0167 -15.5333)","1630","1630"
293,"Tham Doun Mai","POINT(102.65 20.75)","1578","1578"
189,"Chen Ha cave","POINT(-89.0925 16.6769)","1573","1573"
182,"Kotumsar cave","POINT(82 19)","1546","1546"
2,"Kesang cave","POINT(81.75 42.87)","1531","1531"
